off time : 0.004; on time :0.003
off time : 0.018; on time :0.004
off time : 0.018; on time :0.006
off time : 0.018; on time :0.008
off time : 0.018; on time :0.01
off time : 0.024; on time :0.02
off time : 0.028; on time :0.03
off time : 0.026; on time :0.04
off time : 0.026; on time :0.05
off time : 0.028; on time :0.06
off time : 0.026; on time :0.08
off time : 0.03; on time :0.1
off time : 0.028; on time :0.12
off time : 0.024; on time :0.14
off time : 0.024; on time :0.16
off time : 0.022; on time :0.18
off time : 0.03; on time :0.2
off time : 0.022; on time :0.22
off time : 0.02; on time :0.24
off time : 0.02; on time :0.26
off time : 0.014; on time :0.28
off time : 0.008; on time :0.3
off time : 0.01; on time :0.35
off time : 0.014; on time :0.4
off time : 0.012; on time :0.45
off time : 0.01; on time :0.5
