interval, duration: (0.07, 0.1) grade : 5 
interval, duration: (0.07, 0.15) grade : 6 
interval, duration: (0.07, 0.2) grade : 7 
interval, duration: (0.1, 0.15) grade : 6 
interval, duration: (0.1, 0.2) grade : 8 
interval, duration: (0.1, 0.25) grade : 8 
interval, duration: (0.15, 0.2) grade : 3 
interval, duration: (0.15, 0.25) grade : 4 
interval, duration: (0.2, 0.25) grade : 2 
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.15, 0.2) grade :  
interval, duration: (0.15, 0.25) grade :  
interval, duration: (0.2, 0.25) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.15, 0.2) grade :  
interval, duration: (0.15, 0.25) grade :  
interval, duration: (0.2, 0.25) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.15, 0.2) grade :  
interval, duration: (0.15, 0.25) grade :  
interval, duration: (0.2, 0.25) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.15, 0.2) grade :  
interval, duration: (0.15, 0.25) grade :  
interval, duration: (0.2, 0.25) grade :  
interval, duration: (0.07, 0.2) grade :  
interval, duration: (0.07, 0.15) grade :  
interval, duration: (0.1, 0.15) grade :  
interval, duration: (0.15, 0.25) grade :  
interval, duration: (0.2, 0.25) grade :  
interval, duration: (0.1, 0.2) grade :  
interval, duration: (0.15, 0.2) grade :  
interval, duration: (0.07, 0.1) grade :  
interval, duration: (0.07, 0.2) grade : 5 
interval, duration: (0.07, 0.15) grade : 5 
interval, duration: (0.15, 0.25) grade : 5 
interval, duration: (0.1, 0.25) grade :  
interval, duration: (0.07, 0.1) grade : 5 4 
interval, duration: (0.1, 0.25) grade : 5 2 
interval, duration: (0.15, 0.25) grade : 5 3 
interval, duration: (0.15, 0.2) grade : 5 3 
interval, duration: (0.07, 0.2) grade : 5 2 
interval, duration: (0.1, 0.2) grade : 5 2 
interval, duration: (0.1, 0.15) grade : 5 3 
