start: 1606827519.2226803
time : 1606827519.2236567 signal: []
time : 1606827519.224723 signal: [{(4, 7): 1}]
time : 1606827519.2277606 signal: [{(4, 7): 0}]
time : 1606827519.2318015 signal: [{(4, 7): 1}]
time : 1606827519.235862 signal: [{(4, 7): 0}]
time : 1606827519.2399077 signal: [{(4, 7): 1}]
time : 1606827519.2439027 signal: [{(4, 7): 0}]
time : 1606827519.2479086 signal: [{(4, 7): 1}]
time : 1606827519.2518935 signal: [{(4, 7): 0}]
time : 1606827519.2558737 signal: [{(4, 7): 1}]
time : 1606827519.2608948 signal: [{(4, 7): 0}]
time : 1606827519.2639236 signal: [{(4, 7): 1}]
time : 1606827519.2689147 signal: [{(4, 7): 0}]
time : 1606827519.2719188 signal: [{(4, 7): 1}]
time : 1606827519.2769184 signal: [{(4, 7): 0}]
time : 1606827519.2799184 signal: [{(4, 7): 1}]
time : 1606827519.2849119 signal: [{(4, 7): 0}]
time : 1606827519.2879221 signal: [{(4, 7): 1}]
time : 1606827519.2919443 signal: [{(4, 7): 0}]
time : 1606827519.2969549 signal: [{(4, 7): 1}]
time : 1606827519.300956 signal: [{(4, 7): 0}]
time : 1606827519.304 signal: [{(4, 7): 1}]
time : 1606827519.3079789 signal: [{(4, 7): 0}]
time : 1606827519.3129628 signal: [{(4, 7): 1}]
time : 1606827519.3170314 signal: [{(4, 7): 0}]
time : 1606827519.320138 signal: [{(4, 7): 1}]
time : 1606827519.3242478 signal: [{(4, 7): 0}]
time : 1606827519.3293502 signal: [{(4, 7): 1}]
time : 1606827519.3335247 signal: [{(4, 7): 0}]
time : 1606827519.336809 signal: [{(4, 7): 1}]
time : 1606827519.3410769 signal: [{(4, 7): 0}]
time : 1606827519.346367 signal: [{(4, 7): 1}]
time : 1606827519.3506253 signal: [{(4, 7): 0}]
time : 1606827519.3538651 signal: [{(4, 7): 1}]
time : 1606827519.3581479 signal: [{(4, 7): 0}]
time : 1606827519.3624203 signal: [{(4, 7): 1}]
time : 1606827519.3667588 signal: [{(4, 7): 0}]
time : 1606827519.3720486 signal: [{(4, 7): 1}]
time : 1606827519.3761277 signal: [{(4, 7): 0}]
time : 1606827519.3802686 signal: [{(4, 7): 1}]
time : 1606827519.3845243 signal: [{(4, 7): 0}]
time : 1606827519.3877823 signal: [{(4, 7): 1}]
time : 1606827519.3920412 signal: [{(4, 7): 0}]
time : 1606827519.396282 signal: [{(4, 7): 1}]
time : 1606827519.4015615 signal: [{(4, 7): 0}]
time : 1606827519.4057782 signal: [{(4, 7): 1}]
time : 1606827519.4099534 signal: [{(4, 7): 0}]
time : 1606827519.4141302 signal: [{(4, 7): 1}]
time : 1606827519.4184542 signal: [{(4, 7): 0}]
time : 1606827519.421733 signal: [{(4, 7): 1}]
time : 1606827519.4260263 signal: [{(4, 7): 0}]
time : 1606827519.4302876 signal: [{(4, 7): 1}]
time : 1606827519.4355574 signal: [{(4, 7): 0}]
time : 1606827519.4398246 signal: [{(4, 7): 1}]
time : 1606827519.4440482 signal: [{(4, 7): 0}]
time : 1606827519.448233 signal: [{(4, 7): 1}]
time : 1606827519.4524765 signal: [{(4, 7): 0}]
time : 1606827519.455769 signal: [{(4, 7): 1}]
time : 1606827519.4600291 signal: [{(4, 7): 0}]
time : 1606827519.4642708 signal: [{(4, 7): 1}]
time : 1606827519.4695518 signal: [{(4, 7): 0}]
time : 1606827519.473817 signal: [{(4, 7): 1}]
time : 1606827519.4780161 signal: [{(4, 7): 0}]
time : 1606827519.4822495 signal: [{(4, 7): 1}]
time : 1606827519.4864879 signal: [{(4, 7): 0}]
time : 1606827519.4897232 signal: [{(4, 7): 1}]
time : 1606827519.4939983 signal: [{(4, 7): 0}]
time : 1606827519.4982605 signal: [{(4, 7): 1}]
time : 1606827519.5025296 signal: [{(4, 7): 0}]
time : 1606827519.5067801 signal: [{(4, 7): 1}]
time : 1606827519.5110803 signal: [{(4, 7): 0}]
time : 1606827519.5153105 signal: [{(4, 7): 1}]
time : 1606827519.5205383 signal: [{(4, 7): 0}]
time : 1606827519.5248044 signal: [{(4, 7): 1}]
time : 1606827519.5290153 signal: [{(4, 7): 0}]
time : 1606827519.5332267 signal: [{(4, 7): 1}]
time : 1606827519.5374491 signal: [{(4, 7): 0}]
time : 1606827519.541663 signal: [{(4, 7): 1}]
time : 1606827519.545926 signal: [{(4, 7): 0}]
time : 1606827519.5501523 signal: [{(4, 7): 1}]
time : 1606827519.5544791 signal: [{(4, 7): 0}]
time : 1606827519.5577445 signal: [{(4, 7): 1}]
time : 1606827519.561985 signal: [{(4, 7): 0}]
time : 1606827519.5662272 signal: [{(4, 7): 1}]
time : 1606827519.5704842 signal: [{(4, 7): 0}]
time : 1606827519.574758 signal: [{(4, 7): 1}]
time : 1606827519.5791144 signal: [{(4, 7): 0}]
time : 1606827519.5842927 signal: [{(4, 7): 1}]
time : 1606827519.5885153 signal: [{(4, 7): 0}]
time : 1606827519.592764 signal: [{(4, 7): 1}]
time : 1606827519.5970066 signal: [{(4, 7): 0}]
time : 1606827519.6012487 signal: [{(4, 7): 1}]
time : 1606827519.605499 signal: [{(4, 7): 0}]
time : 1606827519.609753 signal: [{(4, 7): 1}]
time : 1606827519.6139338 signal: [{(4, 7): 0}]
time : 1606827519.6180997 signal: [{(4, 7): 1}]
time : 1606827519.6222618 signal: [{(4, 7): 0}]
time : 1606827519.6254961 signal: [{(4, 7): 1}]
time : 1606827519.6297178 signal: [{(4, 7): 0}]
time : 1606827519.6339326 signal: [{(4, 7): 1}]
time : 1606827519.6380994 signal: [{(4, 7): 0}]
time : 1606827519.642285 signal: [{(4, 7): 1}]
time : 1606827519.6464672 signal: [{(4, 7): 0}]
time : 1606827519.6515317 signal: [{(4, 7): 1}]
time : 1606827519.655519 signal: [{(4, 7): 0}]
time : 1606827519.659484 signal: [{(4, 7): 1}]
time : 1606827519.663409 signal: [{(4, 7): 0}]
time : 1606827519.6674256 signal: [{(4, 7): 1}]
time : 1606827519.6715038 signal: [{(4, 7): 0}]
time : 1606827519.6755884 signal: [{(4, 7): 1}]
time : 1606827519.6796136 signal: [{(4, 7): 0}]
time : 1606827519.6836522 signal: [{(4, 7): 1}]
time : 1606827519.687452 signal: [{(4, 7): 0}]
time : 1606827519.6903312 signal: [{(4, 7): 1}]
time : 1606827519.6941614 signal: [{(4, 7): 0}]
time : 1606827519.6984098 signal: [{(4, 7): 1}]
time : 1606827519.702718 signal: [{(4, 7): 0}]
time : 1606827519.707021 signal: [{(4, 7): 1}]
time : 1606827519.711257 signal: [{(4, 7): 0}]
time : 1606827519.716554 signal: [{(4, 7): 1}]
time : 1606827519.720834 signal: [{(4, 7): 0}]
time : 1606827519.725057 signal: [{(4, 7): 1}]
time : 1606827519.7292523 signal: [{(4, 7): 0}]
time : 1606827519.7334528 signal: [{(4, 7): 1}]
time : 1606827519.7375965 signal: [{(4, 7): 0}]
time : 1606827519.741847 signal: [{(4, 7): 1}]
time : 1606827519.7461045 signal: [{(4, 7): 0}]
time : 1606827519.7504034 signal: [{(4, 7): 1}]
time : 1606827519.7546973 signal: [{(4, 7): 0}]
time : 1606827519.7579746 signal: [{(4, 7): 1}]
time : 1606827519.7622595 signal: [{(4, 7): 0}]
time : 1606827519.766547 signal: [{(4, 7): 1}]
time : 1606827519.770798 signal: [{(4, 7): 0}]
time : 1606827519.7751265 signal: [{(4, 7): 1}]
time : 1606827519.7793088 signal: [{(4, 7): 0}]
time : 1606827519.7835872 signal: [{(4, 7): 1}]
time : 1606827519.7878504 signal: [{(4, 7): 0}]
time : 1606827519.7920628 signal: [{(4, 7): 1}]
time : 1606827519.7963233 signal: [{(4, 7): 0}]
time : 1606827519.8005893 signal: [{(4, 7): 1}]
time : 1606827519.804843 signal: [{(4, 7): 0}]
time : 1606827519.809019 signal: [{(4, 7): 1}]
time : 1606827519.8141956 signal: [{(4, 7): 0}]
time : 1606827519.8184748 signal: [{(4, 7): 1}]
time : 1606827519.8227386 signal: [{(4, 7): 0}]
time : 1606827519.8271277 signal: [{(4, 7): 1}]
time : 1606827519.831228 signal: [{(4, 7): 0}]
time : 1606827519.8351793 signal: [{(4, 7): 1}]
time : 1606827519.8390715 signal: [{(4, 7): 0}]
time : 1606827519.843096 signal: [{(4, 7): 1}]
time : 1606827519.8471189 signal: [{(4, 7): 0}]
time : 1606827519.85111 signal: [{(4, 7): 1}]
time : 1606827519.8551028 signal: [{(4, 7): 0}]
time : 1606827519.8590968 signal: [{(4, 7): 1}]
time : 1606827519.863062 signal: [{(4, 7): 0}]
time : 1606827519.8670628 signal: [{(4, 7): 1}]
time : 1606827519.8710823 signal: [{(4, 7): 0}]
time : 1606827519.8751304 signal: [{(4, 7): 1}]
time : 1606827519.8792279 signal: [{(4, 7): 0}]
time : 1606827519.8833623 signal: [{(4, 7): 1}]
time : 1606827519.8876042 signal: [{(4, 7): 0}]
time : 1606827519.8908944 signal: [{(4, 7): 1}]
time : 1606827519.8951538 signal: [{(4, 7): 0}]
time : 1606827519.89942 signal: [{(4, 7): 1}]
time : 1606827519.9036536 signal: [{(4, 7): 0}]
time : 1606827519.9079905 signal: [{(4, 7): 1}]
time : 1606827519.9122052 signal: [{(4, 7): 0}]
time : 1606827519.9164908 signal: [{(4, 7): 1}]
time : 1606827519.9207625 signal: [{(4, 7): 0}]
time : 1606827519.9250154 signal: [{(4, 7): 1}]
time : 1606827519.9292285 signal: [{(4, 7): 0}]
time : 1606827519.9335122 signal: [{(4, 7): 1}]
time : 1606827519.9377785 signal: [{(4, 7): 0}]
time : 1606827519.9430206 signal: [{(4, 7): 1}]
time : 1606827519.9472466 signal: [{(4, 7): 0}]
time : 1606827519.9514897 signal: [{(4, 7): 1}]
time : 1606827519.9557498 signal: [{(4, 7): 0}]
time : 1606827519.959977 signal: [{(4, 7): 1}]
time : 1606827519.9641607 signal: [{(4, 7): 0}]
time : 1606827519.9684484 signal: [{(4, 7): 1}]
time : 1606827519.9726725 signal: [{(4, 7): 0}]
time : 1606827519.9768827 signal: [{(4, 7): 1}]
time : 1606827519.9810338 signal: [{(4, 7): 0}]
time : 1606827519.9851336 signal: [{(4, 7): 1}]
time : 1606827519.9893677 signal: [{(4, 7): 0}]
time : 1606827519.9935632 signal: [{(4, 7): 1}]
time : 1606827519.9977386 signal: [{(4, 7): 0}]
