off time : 0.004; on time :0.003
off time : 0.005; on time :0.003
off time : 0.006; on time :0.003
off time : 0.008; on time :0.003
off time : 0.01; on time :0.003
off time : 0.012; on time :0.003
off time : 0.014; on time :0.003
off time : 0.016; on time :0.003
off time : 0.018; on time :0.003
off time : 0.02; on time :0.003
off time : 0.022; on time :0.003
off time : 0.024; on time :0.003
off time : 0.026; on time :0.003
off time : 0.006; on time :0.004
off time : 0.008; on time :0.004
off time : 0.01; on time :0.004
off time : 0.012; on time :0.004
off time : 0.014; on time :0.004
off time : 0.016; on time :0.004
off time : 0.018; on time :0.004
off time : 0.02; on time :0.004
off time : 0.022; on time :0.004
off time : 0.024; on time :0.004
off time : 0.026; on time :0.004
off time : 0.018; on time :0.006
off time : 0.02; on time :0.006
off time : 0.022; on time :0.006
off time : 0.024; on time :0.006
off time : 0.026; on time :0.006
off time : 0.016; on time :0.008
off time : 0.018; on time :0.008
off time : 0.02; on time :0.008
off time : 0.022; on time :0.008
off time : 0.024; on time :0.008
off time : 0.026; on time :0.008
off time : 0.003; on time :0.01
off time : 0.012; on time :0.01
off time : 0.014; on time :0.01
off time : 0.016; on time :0.01
